collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
FRPGFA21,10,Electrofishing (individuals),Lavinia exilicauda,hitch,,hitch (Lavinia exilicauda),Cyprinidae: Lavinia exilicauda (hitch) [Native],0,0.0000
FRPGFA21,11,Electrofishing (individuals),Lepomis cyanellus,green sunfish,,green sunfish (Lepomis cyanellus),Centrarchidae: Lepomis cyanellus (green sunfish) [Introduced],0,0.0000
FRPGFA21,12,Electrofishing (individuals),Lepomis gulosus,warmouth,,warmouth (Lepomis gulosus),Centrarchidae: L. gulosus (warmouth) [Introduced],0,0.0000
FRPGFA21,13,Electrofishing (individuals),Lepomis macrochirus,bluegill,bluegill,bluegill (Lepomis macrochirus),Centrarchidae: L. macrochirus (bluegill) [Introduced],38,0.1413
FRPGFA21,14,Electrofishing (individuals),Lepomis microlophus,redear sunfish,redear sunfish,redear sunfish (Lepomis microlophus),Centrarchidae: L. microlophus (redear sunfish) [Introduced],21,0.0781
FRPGFA21,15,Electrofishing (individuals),Lepomis sp. ,undetermined sunfish,undetermined sunfish,undetermined sunfish,Centrarchidae: Lepomis sp. (undetermined sunfish) [Introduced],32,0.1190
FRPGFA21,16,Electrofishing (individuals),Menidia beryllina complex,silverside,,silverside (Menidia beryllina),Atherinopsidae: Menidia beryllina complex (silverside) [Introduced],1,0.0037
FRPGFA21,17,Electrofishing (individuals),Micropterus dolomieu,smallmouth bass,smallmouth bass,smallmouth bass (Micropterus dolomieu),Centrarchidae: Micropterus dolomieu (smallmouth bass) [Introduced],36,0.1338
FRPGFA21,18,Electrofishing (individuals),Micropterus salmoides,largemouth bass,largemouth bass,largemouth bass (Micropterus salmoides),Centrarchidae: M. salmoides (largemouth bass)  [Introduced],81,0.3011
FRPGFA21,19,Electrofishing (individuals),Notemigonus crysoleucas,golden shiner,,golden shiner (Notemigonus crysoleucas),Cyprinidae: Notemigonus crysoleucas (golden shiner) [Introduced],1,0.0037
FRPGFA21,20,Electrofishing (individuals),Oncorhynchus mykiss ,rainbow trout,,rainbow trout (Oncorhynchus mykiss ),Salmonidae: Oncorhynchus mykiss (rainbow trout) [Native],0,0.0000
